query_term         	   pri	prev_rate       	prev_items	prev_span_min	prev_span_max	
2003                  	100000	  0.015074615003847399	   26993	2680152278	3284258640	
2004                  	100000	  0.012582951901983800	   23386	2666096777	3281889315	
2005                  	100000	  0.018754623294551302	   28299	2671493437	3281531096	
2006                  	100000	  0.095189060104145004	   32757	2673188663	3286776003	
2007                  	100000	  0.064486269297261894	   51424	2679319272	3289199999	
2008                  	100000	  0.060082904342313503	   83229	2684282249	3286576301	
2009                  	100000	  2.187110295119119918	  954903	2688062985	3289732038	
2010                  	100000	  0.558895285736362046	  168912	2686044949	3289732777	
2011                  	100000	  0.013325314299733600	   18820	2659751395	3281834341	
2012                  	100000	  0.026036120959174399	   31449	2674317541	3283688248	
2013                  	100000	  0.002951390159649650	    7552	2650270647	3283086572	
2014                  	100000	  0.002440744335956200	    5441	2598684967	3282209589	
2015                  	100000	  0.003555859711176970	   12897	2532723798	3281773900	
2016                  	100000	  0.006238559196544100	    5072	2549066888	3282156500	
2017                  	100000	  0.000703656357568142	    5749	2502702827	3281483686	
2018                  	100000	  0.000390202540103572	    3364	2501983004	3281853307	
2019                  	100000	  0.000543711407939279	    4303	2502507219	3282600129	
2020                  	100000	  0.002818033629281540	    8312	2606894696	3281900637	
2021                  	100000	  0.000080848447997256	    1539	2501883421	3281475862	
2022                  	100000	  0.000394882872467712	    3350	2501831255	3281070691	
2023                  	100000	  0.000037489086083604	    1296	2503128310	3282364004	
2024                  	100000	  0.000035899153532598	    1458	2501850288	3282330703	
2025                  	100000	  0.003308156267629950	   18223	2501873778	3283074551	
2026                  	100000	  0.000045857521314479	    1354	2502505035	3279229319	
2027                  	100000	  0.000034132066346897	    1277	2503101405	3281782781	
2028                  	100000	  0.000039909258160990	    1307	2502532265	3280826821	
2029                  	100000	  0.000056813002768268	    1596	2502549099	3282348574	
2030                  	100000	  0.001295460104609430	    6675	2501931056	3281755599	
2031                  	100000	  0.000104598589073753	    2869	2504315784	3282071335	
2032                  	100000	  0.000039070916384429	    1307	2502560796	3280571339	
2033                  	100000	  0.000044157506725959	    1269	2503821624	3280496264	
2034                  	100000	  0.000033703854538356	    1190	2502617528	3282270448	
2035                  	100000	  0.000087450676199352	    1549	2501795910	3273665526	
2036                  	100000	  0.000050858246753524	    1344	2502647145	3278002179	
2037                  	100000	  0.000035889033343047	    1210	2503436543	3282129298	
2038                  	100000	  0.000068223460289579	    1330	2591145497	3282311870	
2039                  	100000	  0.000035977931574125	    1197	2503206363	3277415542	
2040                  	100000	  0.001273889412085750	    9059	2502637154	3282620111	
2041                  	100000	  0.000040602431377619	    1164	2502087482	3281378109	
2042                  	100000	  0.000041996941603459	    1251	2502731731	3282584751	
2043                  	100000	  0.000036559976073039	    1164	2503171920	3268208257	
2044                  	100000	  0.000031478180753026	    1151	2502758712	3281100371	
2045                  	100000	  0.000084522209372846	    1482	2502419916	3281995109	
2046                  	100000	  0.000056357040848645	    1328	2502785194	3282989408	
2047                  	100000	  0.000051863652825302	    1405	2507852813	3282972360	
2048                  	100000	  0.000078173437304696	    1472	2501823000	3282130071	
2049                  	100000	  0.000034622818459923	    1216	2502701531	3282762597	
2050                  	100000	  0.000724712537793608	    2926	2515365116	3282846046	
a%27s                 	100000	  0.024231564516691700	   48583	2752921293	3283437289	
apollo+11             	100000	  0.000330437341999233	    8660	2753506678	3281142178	
michael+jackson       	100000	  1.569239518278620071	  261405	2755658176	3289730030	
vegas                 	100000	  0.112287460198846001	  219279	2754317841	3288591084	
